epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1919.42,0.88704,0.59239,0.88725,0.81515,0.75957,0.84264,0.56338,1.05501,0.73405,0.98155,0.00098525,0.00098525,0.00098525
43,1963.05,0.89298,0.55906,0.87788,0.87434,0.72727,0.8239,0.5574,1.04841,0.72936,0.97519,0.0009605,0.0009605,0.0009605
44,2006.2,0.86173,0.57135,0.87596,0.87559,0.74084,0.83256,0.55265,1.09102,0.76435,0.97421,0.00093575,0.00093575,0.00093575
45,2047.83,0.8995,0.58417,0.8837,0.85704,0.74641,0.84543,0.55907,1.07724,0.75565,0.97414,0.000911,0.000911,0.000911
46,2089.59,0.92713,0.59594,0.88341,0.84368,0.74892,0.86723,0.56964,1.07809,0.67318,0.97302,0.00088625,0.00088625,0.00088625
47,2130.96,0.92079,0.57913,0.88123,0.85207,0.79924,0.87796,0.58609,1.05217,0.66158,0.97303,0.0008615,0.0008615,0.0008615
48,2172.15,0.89908,0.55291,0.88154,0.85884,0.7799,0.87523,0.57739,1.05754,0.67351,0.9683,0.00083675,0.00083675,0.00083675
49,2213.57,0.90402,0.55663,0.88106,0.84538,0.7512,0.87204,0.57924,1.03381,0.68129,0.96696,0.000812,0.000812,0.000812
50,2255.28,0.86242,0.53623,0.87257,0.81954,0.7512,0.84385,0.55842,1.0737,0.72018,0.98399,0.00078725,0.00078725,0.00078725
51,2297.19,0.88683,0.54002,0.87279,0.8081,0.7799,0.85878,0.56799,1.06821,0.71212,0.98379,0.0007625,0.0007625,0.0007625
52,2339.15,0.9075,0.55923,0.88017,0.89945,0.77033,0.88328,0.58904,1.06172,0.67027,0.97594,0.00073775,0.00073775,0.00073775
53,2381.27,0.88404,0.53613,0.87816,0.86849,0.82158,0.89921,0.58586,1.08367,0.654,0.98302,0.000713,0.000713,0.000713
54,2423.41,0.88742,0.53787,0.87504,0.88045,0.8134,0.89372,0.58454,1.09985,0.64959,0.98378,0.00068825,0.00068825,0.00068825
55,2465.28,0.85482,0.53201,0.8658,0.90259,0.80861,0.89781,0.60076,1.05117,0.61839,0.9756,0.0006635,0.0006635,0.0006635
56,2507,0.84211,0.53064,0.86274,0.90636,0.7799,0.90088,0.59409,1.06471,0.60829,0.97881,0.00063875,0.00063875,0.00063875
57,2548.29,0.85956,0.52498,0.87684,0.86534,0.80383,0.89863,0.59773,1.05359,0.60446,0.9753,0.000614,0.000614,0.000614
58,2589.76,0.84123,0.52055,0.86893,0.88548,0.77512,0.8956,0.59952,1.028,0.60385,0.96651,0.00058925,0.00058925,0.00058925
59,2631.57,0.88131,0.52483,0.86675,0.90112,0.78469,0.89141,0.59495,1.06278,0.60489,0.97446,0.0005645,0.0005645,0.0005645
60,2673.3,0.88208,0.53009,0.88429,0.8663,0.80608,0.88885,0.59109,1.07332,0.59365,0.97481,0.00053975,0.00053975,0.00053975
61,2714.83,0.84582,0.52242,0.88215,0.86988,0.78947,0.89159,0.59611,1.06892,0.58543,0.97171,0.000515,0.000515,0.000515
62,2756.25,0.80546,0.49567,0.85335,0.8422,0.81715,0.90272,0.59131,1.05511,0.59965,0.97267,0.00049025,0.00049025,0.00049025
63,2797.63,0.83938,0.50138,0.86367,0.92357,0.7512,0.90163,0.59895,1.04282,0.5919,0.97146,0.0004655,0.0004655,0.0004655
64,2839.18,0.82384,0.50293,0.85733,0.83127,0.82506,0.89897,0.59439,1.04279,0.58138,0.96004,0.00044075,0.00044075,0.00044075
65,2880.44,0.80008,0.49072,0.86761,0.82602,0.84051,0.89778,0.5933,1.03564,0.57983,0.95873,0.000416,0.000416,0.000416
66,2921.68,0.84695,0.49914,0.86577,0.91513,0.76077,0.89428,0.60128,1.03115,0.574,0.95775,0.00039125,0.00039125,0.00039125
67,2965.24,0.83052,0.50104,0.86373,0.93851,0.76555,0.89293,0.59982,1.06546,0.58546,0.96693,0.0003665,0.0003665,0.0003665
68,3009.43,0.79542,0.47439,0.84455,0.90392,0.76526,0.89031,0.5945,1.07217,0.58143,0.96842,0.00034175,0.00034175,0.00034175
69,3052.54,0.85051,0.49796,0.86926,0.88056,0.77033,0.88341,0.59424,1.05071,0.58048,0.96483,0.000317,0.000317,0.000317
70,3095.23,0.8457,0.49768,0.87101,0.81684,0.83254,0.8922,0.5928,1.04643,0.58093,0.9645,0.00029225,0.00029225,0.00029225
71,3137.59,0.80082,0.50583,0.86291,0.89514,0.75598,0.89202,0.59636,1.0579,0.58147,0.96784,0.0002675,0.0002675,0.0002675
72,3180.65,0.82475,0.51097,0.85687,0.89741,0.76077,0.89456,0.60015,1.05057,0.59359,0.96459,0.00024275,0.00024275,0.00024275
73,3225.85,0.81534,0.50377,0.85045,0.94439,0.73135,0.88995,0.59845,1.0473,0.59813,0.96315,0.000218,0.000218,0.000218
74,3268.43,0.81492,0.48717,0.85205,0.94008,0.75065,0.89588,0.60273,1.04544,0.59558,0.96622,0.00019325,0.00019325,0.00019325
75,3310.95,0.81103,0.49088,0.85419,0.92446,0.76121,0.892,0.5968,1.03706,0.5953,0.96653,0.0001685,0.0001685,0.0001685
76,3353.92,0.81009,0.48929,0.85444,0.91484,0.76555,0.89242,0.5899,1.03958,0.58988,0.96778,0.00014375,0.00014375,0.00014375
77,3395.29,0.79166,0.47978,0.84999,0.92177,0.76077,0.88752,0.58847,1.04276,0.58806,0.96894,0.000119,0.000119,0.000119
78,3437.9,0.8031,0.48354,0.84038,0.90309,0.77033,0.88786,0.58909,1.04235,0.58535,0.96975,9.425e-05,9.425e-05,9.425e-05
79,3479.02,0.79019,0.47363,0.85231,0.90115,0.78516,0.89037,0.59025,1.03846,0.58651,0.97052,6.95e-05,6.95e-05,6.95e-05
80,3519.52,0.78336,0.47434,0.8476,0.89747,0.78469,0.88843,0.59427,1.03458,0.58579,0.96896,4.475e-05,4.475e-05,4.475e-05
