epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5193.81,1.20651,0.78464,0.94628,0.7742,0.7191,0.75457,0.55127,1.17025,0.78188,0.96968,0.000848969,0.000848969,0.000848969
43,5314.66,1.22622,0.82168,0.95423,0.76051,0.72885,0.75944,0.52525,1.17048,0.80342,0.97432,0.000834822,0.000834822,0.000834822
44,5438.76,1.23554,0.78326,0.94636,0.77062,0.72351,0.7683,0.54716,1.15273,0.78314,0.96691,0.000820675,0.000820675,0.000820675
45,5559.23,1.22545,0.79337,0.95391,0.771,0.73569,0.76145,0.54317,1.15232,0.78802,0.96707,0.000806528,0.000806528,0.000806528
46,5681.72,1.20012,0.78028,0.93958,0.73565,0.74607,0.76057,0.53834,1.14144,0.76675,0.96671,0.00079238,0.00079238,0.00079238
47,5808.6,1.20884,0.76936,0.93955,0.80418,0.69333,0.76234,0.54541,1.15199,0.76554,0.96668,0.000778233,0.000778233,0.000778233
48,5965.58,1.22469,0.77982,0.94377,0.79089,0.70962,0.75902,0.54523,1.14357,0.76823,0.9636,0.000764086,0.000764086,0.000764086
49,6094.66,1.20191,0.75661,0.93216,0.79826,0.68569,0.75636,0.54534,1.13767,0.75322,0.96688,0.000749939,0.000749939,0.000749939
50,6217.44,1.16531,0.75385,0.93514,0.79979,0.70874,0.76924,0.55136,1.12678,0.74194,0.96087,0.000735792,0.000735792,0.000735792
51,6344.82,1.17891,0.7476,0.94761,0.80276,0.72109,0.77104,0.55892,1.12081,0.7533,0.95987,0.000721645,0.000721645,0.000721645
52,6467.29,1.17228,0.74927,0.94238,0.75141,0.74041,0.76412,0.55082,1.12265,0.7462,0.96137,0.000707498,0.000707498,0.000707498
53,6591.42,1.18919,0.75693,0.93743,0.77676,0.71606,0.76239,0.54993,1.13883,0.74136,0.9638,0.000693351,0.000693351,0.000693351
54,6716.94,1.19705,0.74832,0.9439,0.7981,0.74346,0.77491,0.55607,1.12968,0.75376,0.96269,0.000679204,0.000679204,0.000679204
55,6835.92,1.2008,0.7596,0.94068,0.77658,0.74242,0.77458,0.55113,1.14375,0.754,0.96309,0.000665057,0.000665057,0.000665057
56,6958.9,1.16767,0.74854,0.93871,0.76573,0.7375,0.77281,0.56207,1.12179,0.74996,0.95802,0.000650909,0.000650909,0.000650909
57,7080.38,1.2131,0.77481,0.94515,0.76759,0.72781,0.77824,0.56447,1.13716,0.73475,0.96411,0.000636762,0.000636762,0.000636762
58,7204.8,1.20749,0.73837,0.92926,0.75321,0.73013,0.76914,0.56117,1.13478,0.74425,0.96102,0.000622615,0.000622615,0.000622615
59,7322.05,1.1856,0.73658,0.93871,0.84259,0.70614,0.76991,0.5407,1.1498,0.74404,0.96666,0.000608468,0.000608468,0.000608468
60,7451.89,1.14892,0.71214,0.93039,0.80724,0.726,0.77421,0.5607,1.13043,0.72631,0.95859,0.000594321,0.000594321,0.000594321
61,7568.47,1.17495,0.72261,0.93534,0.81608,0.71292,0.7718,0.55493,1.12645,0.74184,0.96095,0.000580174,0.000580174,0.000580174
62,7685.28,1.19766,0.76338,0.94763,0.79071,0.73635,0.7746,0.54893,1.14121,0.7362,0.96856,0.000566027,0.000566027,0.000566027
63,7813.94,1.16662,0.73173,0.94214,0.80571,0.7143,0.77205,0.55018,1.14113,0.76618,0.96509,0.00055188,0.00055188,0.00055188
64,7941.72,1.19176,0.73262,0.94146,0.81344,0.74389,0.77999,0.56512,1.14748,0.75761,0.96623,0.000537733,0.000537733,0.000537733
65,8073.98,1.18103,0.71647,0.92937,0.80471,0.74576,0.78175,0.56802,1.12613,0.71968,0.95947,0.000523586,0.000523586,0.000523586
66,8196.59,1.14437,0.72378,0.94436,0.79057,0.74471,0.78229,0.57337,1.14148,0.7013,0.96119,0.000509438,0.000509438,0.000509438
67,8313.13,1.17342,0.71363,0.92425,0.81393,0.73098,0.78338,0.57757,1.13872,0.70203,0.96517,0.000495291,0.000495291,0.000495291
